theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cines Renoir,Arco,https://www.cinesrenoir.com/pelicula/arco/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 17:50'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 17:50'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 17:50'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 17:50'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 17:50'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 17:50'}]",Ugo Bienvenu,2025,https://letterboxd.com/film/arco/,4.0,
Cine Doré,Los santos inocentes,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/los-santos-inocentes-6,"[{'timestamp': '2026-02-20 19:00', 'location': 'Cine Doré'}]",Mario Camus,1984,https://letterboxd.com/film/the-holy-innocents/,4.0,
Cine Doré,Bacurau,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/bacurau,"[{'timestamp': '2026-02-28 19:00', 'location': 'Cine Doré'}]",Kleber Mendonça Filho y Juliano Dornelles,2019,https://letterboxd.com/film/bacurau/,3.9,
Cines Renoir,Bugonia,https://www.cinesrenoir.com/pelicula/bugonia/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 22:30'}, {'location': 'Princesa', 'timestamp': '2026-02-07 22:30'}, {'location': 'Princesa', 'timestamp': '2026-02-08 22:30'}, {'location': 'Princesa', 'timestamp': '2026-02-09 22:30'}, {'location': 'Princesa', 'timestamp': '2026-02-10 22:30'}, {'location': 'Princesa', 'timestamp': '2026-02-11 22:30'}]",Yorgos Lanthimos,2025,https://letterboxd.com/film/bugonia/,3.9,
Cineteca Madrid,Vampiresas 1933,https://www.cinetecamadrid.com/programacion/vampiresas-1933,"[{'timestamp': '2026-02-10 20:00', 'location': 'Cineteca Madrid'}]",Mervyn LeRoy,1933,https://letterboxd.com/film/gold-diggers-of-1933/,3.9,
Cineteca Madrid,"Conferencia de Ernesto Castro + Amanece, que no es poco",https://www.cinetecamadrid.com/programacion/conferencia-de-ernesto-castro-amanece-que-no-es-poco,"[{'timestamp': '2026-02-20 19:00', 'location': 'Cineteca Madrid'}]",José Luis Cuerda,1989,https://letterboxd.com/film/dawn-breaks-which-is-no-small-thing/,3.9,
Cineteca Madrid,Tren de sombras (El espectro de Le Thuit),https://www.cinetecamadrid.com/programacion/tren-de-sombras-el-espectro-de-le-thuit,"[{'timestamp': '2026-02-12 19:30', 'location': 'Cineteca Madrid'}]",José Luis Guerin,1997,https://letterboxd.com/film/train-of-shadows/,3.9,
Cine Doré,El Havre,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-havre,"[{'timestamp': '2026-02-07 19:00', 'location': 'Cine Doré'}]",Aki Kaurismäki,2011,https://letterboxd.com/film/le-havre/,3.9,
Cines Renoir,La Chica Zurda,https://www.cinesrenoir.com/pelicula/la-chica-zurda/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 22:15'}]",Shih-Ching Tsou,2025,https://letterboxd.com/film/left-handed-girl/,3.9,
Cines Renoir,La Tarta Del Presidente,https://www.cinesrenoir.com/pelicula/la-tarta-del-presidente/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 22:00'}]",Hasan Hadi,2025,https://letterboxd.com/film/the-presidents-cake/,3.9,
