theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,"Hombre que me hace daño, hombre que más feo se pone",https://www.cinetecamadrid.com/programacion/hombre-que-me-hace-dano-hombre-que-mas-feo-se-pone,['2026-02-14 18:00'],Varios autores,,,0.0,
Cineteca Madrid,Emergency Exit,https://www.cinetecamadrid.com/programacion/emergency-exit,"['2026-02-13 20:30', '2026-02-14 20:00', '2026-02-15 20:00', '2026-02-17 20:30', '2026-02-19 19:00']",Lluís Miñarro,2025.0,https://letterboxd.com/film/emergency-exit-2025-2/,0.0,
Cineteca Madrid,Dios lo ve,https://www.cinetecamadrid.com/programacion/dios-lo-ve,"['2026-02-07 19:30', '2026-02-08 20:00', '2026-02-10 19:30']","Alex Guimerà, Guillem Ventura",2025.0,https://letterboxd.com/film/god-sees-it/,0.0,
Cineteca Madrid,Queer me,https://www.cinetecamadrid.com/programacion/queer-me,"['2026-02-21 20:30', '2026-02-22 20:30', '2026-02-24 19:30']",Irene Bailo Carramiñana,2025.0,https://letterboxd.com/film/queer-me/,0.0,
Cineteca Madrid,Sesión de cortometrajes: José Luis Guerin,https://www.cinetecamadrid.com/programacion/sesion-de-cortometrajes-jose-luis-guerin,['2026-02-26 19:30'],José Luis Guerin,,,0.0,
Cineteca Madrid,Una animación del cine,https://www.cinetecamadrid.com/programacion/una-animacion-del-cine,['2026-02-24 19:00'],Varios autores,,,0.0,
Cineteca Madrid,Vivir al revés,https://www.cinetecamadrid.com/programacion/vivir-al-reves,"['2026-02-21 20:00', '2026-02-22 20:00']",Mauricio Álamo,2022.0,https://letterboxd.com/film/vivir-al-reves/,0.0,
Cineteca Madrid,Volpina,https://www.cinetecamadrid.com/programacion/volpina,['2026-02-06 20:30'],Pere Koniec,2021.0,https://letterboxd.com/film/volpina/,0.0,
Cineteca Madrid,Hotel Diaries 1-7,https://www.cinetecamadrid.com/programacion/hotel-diaries-1-7-0,['2026-02-01 20:00'],John Smith,2007.0,https://letterboxd.com/film/hotel-diaries-dirty-pictures/,0.0,
Cineteca Madrid,La desmemoriada,https://www.cinetecamadrid.com/programacion/la-desmemoriada,['2026-02-20 20:00'],Mauricio Álamo,2018.0,https://letterboxd.com/film/la-desmemoriada/,0.0,
Cineteca Madrid,Las gafas de Isabel Coixet,https://www.cinetecamadrid.com/programacion/las-gafas-de-isabel-coixet,['2026-02-11 19:00'],Santiago Tabernero,2025.0,,0.0,
Cine Doré,Amanecer en Puerta Oscura,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/amanecer-en-puerta-oscura,['2026-02-17 19:00'],José María Forqué,1957.0,https://letterboxd.com/film/whom-god-forgives/,0.0,
Cine Doré,El enemigo principal,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-enemigo-principa,['2026-02-05 19:00'],Jorge Sanjinés,1973.0,https://letterboxd.com/film/the-principal-enemy/,0.0,
Cine Doré,El taxista ful,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-taxista-ful,['2026-02-12 19:00'],Jo Sol,2005.0,https://letterboxd.com/film/the-taxi-thief/,0.0,
Cine Doré,Hay un camino a la derecha,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/hay-un-camino-a-la-derecha,['2026-02-01 19:00'],Francisco Rovira Beleta,1953.0,https://letterboxd.com/film/hay-un-camino-a-la-derecha/,0.0,
Cine Doré,Noche de verano,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/noche-de-verano,['2026-02-03 19:00'],Jorge Grau,1962.0,https://letterboxd.com/film/summer-night-1963/,0.0,
